Transaction_ID,Customer_ID,Transaction_DateTime,Transaction_Type,Merchant_Category,Transaction_Amount,Account_Balance_Before,Account_Balance_After,Card_Present,Device_Type,Transaction_Country,Distance_From_Home_KM,Customer_Age,Customer_Gender,Customer_Tenure_Months,Previous_Fraud_Flags,Is_Fraud,Age_Group,Transaction_Hour,Is_Weekend,Is_High_Risk_Hour,Balance_Depletion_Ratio,Amount_to_Balance_Ratio,Transaction_Risk_Score,Merchant_Volatility_Index
TXN000001,CUST00041,2024-01-01 00:32:47,Online Purchase,Entertainment,1779.72,7617.08,5837.36,No,Web Browser,UAE,31.2,79,Female,105,0,1,66+,0,0,1,0.23364858974830252,0.2336485897483025,25,166.95
TXN000002,CUST00577,2024-01-01 06:06:04,Bank Transfer,Restaurants,216.91,4832.88,4615.97,,Mobile App,United Kingdom,10.6,31,Male,137,0,0,26-35,6,0,0,0.044882140669745545,0.04488214066974557,0,139.48
TXN000003,CUST00362,2024-01-01 06:48:58,Online Purchase,Groceries,83.65,16843.26,16759.61,Yes,Mobile App,Pakistan,11.0,63,Female,89,0,0,56-65,6,0,0,0.004966378242691606,0.004966378242691736,0,130.62
TXN000004,CUST00192,2024-01-01 12:52:10,Online Purchase,Healthcare,397.58,958.2,560.62,Yes,ATM Machine,Pakistan,8.9,68,Female,128,0,0,66+,12,0,0,0.41492381548737217,0.4149238154873721,0,103.71
TXN000005,CUST00661,2024-01-01 13:24:11,Online Purchase,Fashion & Apparel,335.46,1828.06,1492.6,Yes,POS Terminal,United Kingdom,3.4,78,Female,95,0,0,66+,13,0,0,0.1835060118376859,0.18350601183768583,0,144.15
TXN000006,CUST01676,2024-01-01 16:50:38,Online Purchase,Fuel,42.42,7119.09,7593.09,No,Web Browser,Pakistan,1.2,64,Male,167,0,0,56-65,16,0,0,-0.066581543427601,0.0059586267345966976,0,147.4
TXN000007,CUST01677,2024-01-02 10:21:17,Online Purchase,Groceries,29.21,2514.45,2485.24,Yes,Web Browser,United Kingdom,1.5,48,Female,143,0,0,46-55,10,0,0,0.011616854580524583,0.011616854580524569,0,130.62
TXN000008,CUST01134,2024-01-02 12:07:09,POS Purchase,Groceries,133.94,3159.64,3025.7,Yes,Web Browser,United States,22.5,72,Female,170,0,0,66+,12,0,0,0.04239090529300808,0.04239090529300806,0,130.62
TXN000009,CUST01556,2024-01-02 16:45:28,Online Purchase,Healthcare,49.63,7737.77,7688.14,No,Web Browser,United Kingdom,8.7,70,Male,85,0,0,66+,16,0,0,0.006413992661968513,0.0064139926619685,0,103.71
TXN000010,CUST01212,2024-01-02 22:41:01,ATM Withdrawal,Groceries,45.84,28313.62,28267.78,Yes,ATM Machine,United Kingdom,0.1,31,Male,120,0,0,26-35,22,0,0,0.0016190088021242127,0.0016190088021242075,0,130.62
TXN000011,CUST00984,2024-01-03 06:49:43,POS Purchase,Travel,395.2,20050.55,19655.35,Yes,Web Browser,Canada,15.5,58,Female,14,0,0,56-65,6,0,0,0.019710182513696668,0.019710182513696634,0,483.02
TXN000012,CUST00337,2024-01-03 07:18:25,Online Purchase,Entertainment,245.26,5827.32,5938.32,No,Mobile App,India,18.3,31,Male,170,0,0,26-35,7,0,0,-0.019048207409237867,0.04208795810080792,0,166.95
TXN000013,CUST01688,2024-01-03 10:23:11,Bank Transfer,Electronics,28.12,3723.4,3695.28,,Web Browser,United States,3.0,39,Male,66,0,0,36-45,10,0,0,0.007552237202556773,0.007552237202556803,0,132.66
TXN000014,CUST00119,2024-01-03 11:29:29,Online Purchase,Online Services,269.45,2064.76,1795.31,Yes,POS Terminal,United Kingdom,11.4,25,Male,169,0,0,18-25,11,0,0,0.13049942850500795,0.13049942850500781,0,146.23
TXN000015,CUST00619,2024-01-03 11:29:50,Online Purchase,Electronics,181.23,11581.87,11400.64,No,Web Browser,UAE,1.3,39,Female,144,0,0,36-45,11,0,0,0.01564773218832549,0.015647732188325374,0,132.66
TXN000016,CUST01135,2024-01-03 19:02:28,Bill Payment,Fashion & Apparel,12.73,15513.84,15501.11,,POS Terminal,Germany,19.8,63,Female,159,0,0,56-65,19,0,0,0.0008205576440133174,0.0008205576440133456,0,144.15
TXN000017,CUST01582,2024-01-03 20:01:03,Bank Transfer,Entertainment,55.28,907.61,852.33,,POS Terminal,United States,0.7,79,Male,82,0,0,66+,20,0,0,0.060907217857890474,0.0609072178578905,0,166.95
