Transaction_ID,Customer_ID,Transaction_DateTime,Transaction_Type,Merchant_Category,Transaction_Amount,Account_Balance_Before,Account_Balance_After,Card_Present,Device_Type,Transaction_Country,Distance_From_Home_KM,Customer_Age,Customer_Gender,Customer_Tenure_Months,Previous_Fraud_Flags,Is_Fraud
TXN000001,CUST00041,2024-01-01 00:32:47,Online Purchase,Entertainment,1779.72,7617.08,5837.36,No,Web Browser,UAE,31.2,79,Female,105,0,1
TXN000002,CUST00577,2024-01-01 06:06:04,Bank Transfer,Restaurants,216.91,4832.88,4615.97,N/A,Mobile App,United Kingdom,10.6,31,Male,137,0,0
TXN000003,CUST00362,2024-01-01 06:48:58,Online Purchase,Groceries,83.65,16843.26,16759.61,Yes,Mobile App,Pakistan,11.0,63,Female,89,0,0
TXN000004,CUST00192,2024-01-01 12:52:10,Online Purchase,Healthcare,397.58,958.2,560.62,Yes,ATM Machine,Pakistan,8.9,68,Female,128,0,0
TXN000005,CUST00661,2024-01-01 13:24:11,Online Purchase,Fashion & Apparel,335.46,1828.06,1492.6,Yes,POS Terminal,United Kingdom,3.4,78,Female,95,0,0
TXN000006,CUST01676,2024-01-01 16:50:38,Online Purchase,Fuel,42.42,7119.09,7593.09,No,Web Browser,Pakistan,1.2,64,Male,167,0,0
TXN000007,CUST01677,2024-01-02 10:21:17,Online Purchase,Groceries,29.21,2514.45,2485.24,Yes,Web Browser,United Kingdom,1.5,48,Female,143,0,0
TXN000008,CUST01134,2024-01-02 12:07:09,POS Purchase,Groceries,133.94,3159.64,3025.7,Yes,Web Browser,United States,22.5,72,Female,170,0,0
TXN000009,CUST01556,2024-01-02 16:45:28,Online Purchase,Healthcare,49.63,7737.77,7688.14,No,Web Browser,United Kingdom,,70,Male,85,0,0
TXN000010,CUST01212,2024-01-02 22:41:01,ATM Withdrawal,Groceries,45.84,28313.62,28267.78,Yes,ATM Machine,United Kingdom,0.1,31,Male,120,0,0
TXN000011,CUST00984,2024-01-03 06:49:43,POS Purchase,Travel,395.2,20050.55,19655.35,Yes,Web Browser,Canada,15.5,58,Female,14,0,0
TXN000012,CUST00337,2024-01-03 07:18:25,Online Purchase,Entertainment,245.26,5827.32,5938.32,No,Mobile App,India,18.3,31,Male,170,0,0
TXN000013,CUST01688,2024-01-03 10:23:11,Bank Transfer,Electronics,28.12,3723.4,3695.28,N/A,Web Browser,United States,3.0,39,Male,66,0,0
TXN000014,CUST00119,2024-01-03 11:29:29,Online Purchase,Online Services,269.45,2064.76,1795.31,Yes,POS Terminal,United Kingdom,11.4,25,Male,169,0,0
TXN000015,CUST00619,2024-01-03 11:29:50,Online Purchase,Electronics,181.23,11581.87,11400.64,No,Web Browser,UAE,1.3,39,Female,144,0,0
TXN000016,CUST01135,2024-01-03 19:02:28,Bill Payment,Fashion & Apparel,12.73,15513.84,15501.11,N/A,POS Terminal,Germany,19.8,63,Female,159,0,0
TXN000017,CUST01582,2024-01-03 20:01:03,Bank Transfer,Entertainment,55.28,907.61,852.33,N/A,POS Terminal,United States,0.7,79,Male,82,0,0
TXN000018,CUST00170,2024-01-05 07:38:46,Online Purchase,Online Services,132.4,4121.57,3989.17,Yes,Mobile App,Germany,7.4,82,Female,147,0,0
TXN000019,CUST00927,2024-01-05 09:51:41,Bank Transfer,Fuel,143.71,7955.96,7812.25,N/A,POS Terminal,Germany,1.6,63,Female,161,0,0
TXN000020,CUST01624,2024-01-05 12:14:15,POS Purchase,Groceries,107.61,457.69,350.08,No,Web Browser,United States,2.2,76,Female,103,0,0
TXN000021,CUST00308,2024-01-05 12:52:24,Online Purchase,Restaurants,47.78,37822.86,37775.08,No,Web Browser,UAE,12.0,33,Male,92,0,0
TXN000022,CUST00641,2024-01-05 17:46:45,Bill Payment,Restaurants,63.13,8637.71,8574.58,N/A,ATM Machine,Canada,14.0,62,Female,162,0,0
TXN000023,CUST00469,2024-01-05 19:37:41,Wire Transfer,Fuel,94.98,2073.33,1978.35,N/A,Mobile App,Pakistan,23.7,22,Male,23,0,0
TXN000024,CUST00541,2024-01-06 08:44:52,POS Purchase,Healthcare,128.81,9067.02,8938.21,Yes,Web Browser,United States,61.9,70,Male,170,0,0
TXN000025,CUST00656,2024-01-07 16:35:05,POS Purchase,Groceries,122.46,6894.15,6984.15,No,POS Terminal,UAE,10.8,20,Male,41,0,0
TXN000026,CUST01066,2024-01-07 18:32:28,ATM Withdrawal,Restaurants,66.89,1804.87,1737.98,No,POS Terminal,United Kingdom,12.7,28,Female,72,0,0
TXN000027,CUST01660,2024-01-08 08:20:09,ATM Withdrawal,Entertainment,231.09,745.48,514.39,No,Web Browser,UAE,4.1,77,Female,43,0,0
TXN000028,CUST00415,2024-01-08 09:22:25,Online Purchase,Online Services,47.85,2255.92,2208.07,No,POS Terminal,United States,36.3,70,Female,134,0,0
TXN000029,CUST01665,2024-01-08 11:45:16,Online Purchase,Fashion & Apparel,208.17,871.51,663.34,Yes,Mobile App,United States,47.0,44,Male,131,0,0
TXN000030,CUST00926,2024-01-08 12:04:51,POS Purchase,Electronics,44.56,854.6,810.04,No,Mobile App,Germany,13.5,35,Male,157,0,0
TXN000031,CUST01214,2024-01-08 14:07:09,Bank Transfer,Online Services,60.42,3729.69,3669.27,N/A,POS Terminal,United Kingdom,7.2,82,Male,109,0,0
TXN000032,CUST01078,2024-01-08 17:31:32,POS Purchase,Restaurants,486.93,4624.05,4137.12,No,Web Browser,United Kingdom,7.7,29,Female,116,0,0
TXN000033,CUST00325,2024-01-08 18:48:22,Bank Transfer,Restaurants,78.81,1340.79,1261.98,N/A,Mobile App,United Kingdom,0.9,59,Male,144,0,0
TXN000034,CUST01033,2024-01-09 03:12:52,Bill Payment,Home Improvement,157.85,7106.32,6948.47,N/A,Mobile App,United Kingdom,5.3,24,Male,37,0,0
TXN000035,CUST00083,2024-01-09 11:11:44,Online Purchase,Electronics,374.27,2364.35,1990.08,Yes,Web Browser,United Kingdom,3.1,30,Male,93,0,0
TXN000036,CUST01417,2024-01-09 11:57:57,ATM Withdrawal,Electronics,102.39,2061.61,1959.22,No,Web Browser,United States,11.2,61,Female,29,0,0
TXN000037,CUST01469,2024-01-09 17:32:50,Bill Payment,Fuel,177.87,3395.37,3217.5,N/A,POS Terminal,India,1.9,81,Male,144,0,0
TXN000038,CUST00354,2024-01-09 17:55:32,ATM Withdrawal,Restaurants,104.66,3831.22,3726.56,No,POS Terminal,United States,24.6,22,Male,7,0,0
TXN000039,CUST00362,2024-01-09 20:43:24,Online Purchase,Groceries,35.22,3521.24,3486.02,Yes,Mobile App,United States,2.0,63,Female,51,0,0
TXN000040,CUST00957,2024-01-10 11:21:12,Online Purchase,Entertainment,138.71,1069.11,930.4,No,Mobile App,Canada,6.2,20,Male,180,0,0
TXN000041,CUST00676,2024-01-10 16:57:22,Bill Payment,Groceries,206.76,3194.37,2987.61,N/A,POS Terminal,United States,5.2,26,Male,78,0,0
TXN000042,CUST00005,2024-01-10 19:52:15,Bank Transfer,Groceries,45.65,9724.58,9678.93,N/A,Mobile App,India,9.6,29,Male,90,0,0
TXN000043,CUST00520,2024-01-10 20:02:14,POS Purchase,Fuel,265.14,7456.36,7191.22,Yes,Web Browser,Germany,0.5,34,Male,3,0,0
TXN000044,CUST01435,2024-01-10 22:27:12,ATM Withdrawal,Fuel,59.03,1476.4,1417.37,Yes,Mobile App,Canada,36.1,26,Male,69,0,0
TXN000045,CUST00303,2024-01-10 23:52:29,Online Purchase,Utilities,111.92,2703.06,2591.14,No,POS Terminal,UAE,0.4,29,Male,122,0,0
TXN000046,CUST01567,2024-01-11 15:29:26,POS Purchase,Fashion & Apparel,137.92,1923.67,2002.67,Yes,Web Browser,United Kingdom,17.8,20,Male,103,0,0
TXN000047,CUST00586,2024-01-11 16:05:57,ATM Withdrawal,Utilities,65.43,6413.79,6348.36,Yes,POS Terminal,United States,18.9,73,Male,150,0,0
TXN000048,CUST00655,2024-01-11 18:26:55,Wire Transfer,Fuel,182.95,3805.6,3622.65,N/A,Mobile App,United Kingdom,3.9,79,Male,100,0,0
TXN000049,CUST00609,2024-01-11 18:44:10,Online Purchase,Fashion & Apparel,171.77,586.52,414.75,Yes,ATM Machine,UAE,28.5,52,Male,177,0,0
TXN000050,CUST00572,2024-01-11 23:09:20,Bill Payment,Electronics,197.69,1116.94,919.25,N/A,POS Terminal,United States,1.5,23,Female,141,0,0
TXN000051,CUST01525,2024-01-12 08:27:40,Online Purchase,Fuel,553.39,1527.99,974.6,Yes,POS Terminal,UAE,26.9,24,Female,179,0,0
TXN000052,CUST00390,2024-01-12 13:42:12,POS Purchase,Healthcare,51.19,7678.32,7627.13,Yes,POS Terminal,United States,6.4,25,Male,33,0,0
TXN000053,CUST01198,2024-01-12 13:46:02,Online Purchase,Fashion & Apparel,79.23,4960.89,4881.66,Yes,Web Browser,United States,9.2,59,Female,10,0,0
TXN000054,CUST00439,2024-01-12 17:22:34,POS Purchase,Healthcare,81.88,4638.48,4556.6,No,ATM Machine,Pakistan,5.8,65,Male,168,0,0
